interaction_id,channel,source_system,created_ts,lang,market,author,raw_text,audio_path,pii_masked_text,meta_json
IID-000015,chat,demo,2026-02-12T07:00:00+00:00,en,UK,customer_00015,Quick resolution on the first contact! The agent understood my problem immediately and fixed it within minutes.,,Quick resolution on the first contact! The agent understood my problem immediately and fixed it within minutes.,"{""topics"": [""THEME_FCR_RESOLUTION""], ""nps_score"": null, ""queue"": ""tier2"", ""vendor"": ""vendorA""}"
IID-000016,call,demo,2026-02-24T07:00:00+00:00,en,DE,customer_00016,I've called 4 times about the same issue and it's still not resolved. Every agent gives me different information. Extremely frustrating!,,I've called 4 times about the same issue and it's still not resolved. Every agent gives me different information. Extremely frustrating!,"{""topics"": [""THEME_FCR_RESOLUTION""], ""nps_score"": null, ""queue"": ""tier1"", ""vendor"": ""vendorB""}"
IID-000017,chat,demo,2026-01-18T14:00:00+00:00,en,IT,customer_00017,I need to speak to your supervisor. This issue has been going on for 2 weeks and nobody is taking ownership.,,I need to speak to your supervisor. This issue has been going on for 2 weeks and nobody is taking ownership.,"{""topics"": [""THEME_ESCALATION""], ""nps_score"": null, ""queue"": ""tier2"", ""vendor"": ""vendorA""}"
IID-000018,call,demo,2026-01-24T11:00:00+00:00,en,UK,customer_00018,The agent asked for my date of birth and verified my identity before proceeding - very professional and secure.,,The agent asked for my date of birth and verified my identity before proceeding - very professional and secure.,"{""topics"": [""THEME_AUTHENTICATION""], ""nps_score"": null, ""queue"": ""tier1"", ""vendor"": ""vendorC""}"
IID-000019,call,demo,2026-01-18T22:00:00+00:00,en,UK,customer_00019,I've been having headaches and feeling dizzy since using the new HEETS variety. Could this be a health concern? Should I see a doctor?,,I've been having headaches and feeling dizzy since using the new HEETS variety. Could this be a health concern? Should I see a doctor?,"{""topics"": [""THEME_ADVERSE_EVENT""], ""nps_score"": null, ""queue"": ""tier1"", ""vendor"": ""vendorC""}"
IID-000020,chat,demo,2026-02-10T05:00:00+00:00,en,US,customer_00020,I'm a nurse and I've noticed unusual symptoms in a patient who uses IQOS. I need to report this as a potential adverse event.,,I'm a nurse and I've noticed unusual symptoms in a patient who uses IQOS. I need to report this as a potential adverse event.,"{""topics"": [""THEME_ADVERSE_EVENT""], ""nps_score"": null, ""queue"": ""tier1"", ""vendor"": ""vendorA""}"
IID-000021,chat,demo,2026-01-30T12:00:00+00:00,en,UK,customer_00021,Your checkout page keeps throwing an error when I try to pay. Error code PG-404. Can't complete my purchase!,,Your checkout page keeps throwing an error when I try to pay. Error code PG-404. Can't complete my purchase!,"{""topics"": [""THEME_CHECKOUT_FRICTION""], ""nps_score"": null, ""queue"": ""tier2"", ""vendor"": ""vendorC""}"
IID-000022,email,demo,2026-02-14T17:00:00+00:00,en,US,customer_00022,The search function on your website is completely broken. I can't find any products. The site is unusable!,,The search function on your website is completely broken. I can't find any products. The site is unusable!,"{""topics"": [""THEME_SEARCH_NAVIGATION""], ""nps_score"": null, ""queue"": ""tier1"", ""vendor"": ""vendorC""}"
IID-000023,nps,demo,2026-01-21T01:00:00+00:00,en,DE,customer_00023,Website navigation is excellent and intuitive. Found exactly what I needed in less than a minute. Great UX!,,Website navigation is excellent and intuitive. Found exactly what I needed in less than a minute. Great UX!,"{""topics"": [""THEME_SEARCH_NAVIGATION""], ""nps_score"": 3, ""queue"": ""tier1"", ""vendor"": ""vendorB""}"
IID-000024,chat,demo,2026-01-26T08:00:00+00:00,en,UK,customer_00024,I can't log in to my account! It says my password is incorrect but I just reset it 5 minutes ago. Very frustrating!,,I can't log in to my account! It says my password is incorrect but I just reset it 5 minutes ago. Very frustrating!,"{""topics"": [""THEME_LOGIN_ACCOUNT""], ""nps_score"": null, ""queue"": ""tier1"", ""vendor"": ""vendorA""}"
IID-000025,email,demo,2026-02-28T18:00:00+00:00,en,US,customer_00025,The chatbot gave me completely wrong information about my order status. It keeps saying the order doesn't exist when it clearly does!,,The chatbot gave me completely wrong information about my order status. It keeps saying the order doesn't exist when it clearly does!,"{""topics"": [""THEME_BOT_FAQ""], ""nps_score"": null, ""queue"": ""tier2"", ""vendor"": ""vendorA""}"
IID-000026,chat,demo,2026-02-11T15:00:00+00:00,en,UK,customer_00026,My order was supposed to arrive 2 weeks ago but still nothing! The tracking says it's been at the local depot for 10 days.,,My order was supposed to arrive 2 weeks ago but still nothing! The tracking says it's been at the local depot for 10 days.,"{""topics"": [""THEME_DELIVERY_DELAY""], ""nps_score"": null, ""queue"": ""tier2"", ""vendor"": ""vendorC""}"
IID-000027,email,demo,2026-01-30T04:00:00+00:00,en,DE,customer_00027,Package arrived completely damaged! The device was crushed inside the box and the accessories are broken. Terrible packaging!,,Package arrived completely damaged! The device was crushed inside the box and the accessories are broken. Terrible packaging!,"{""topics"": [""THEME_DAMAGED_DELIVERY""], ""nps_score"": null, ""queue"": ""tier2"", ""vendor"": ""vendorA""}"
IID-000028,nps,demo,2026-01-16T23:00:00+00:00,en,US,customer_00028,Super fast delivery! Ordered at 2pm and it arrived the next morning. Packaging was excellent and everything was perfect.,,Super fast delivery! Ordered at 2pm and it arrived the next morning. Packaging was excellent and everything was perfect.,"{""topics"": [""THEME_DELIVERY_DELAY""], ""nps_score"": 8, ""queue"": ""tier2"", ""vendor"": ""vendorC""}"
IID-000029,chat,demo,2026-02-07T13:00:00+00:00,en,UK,customer_00029,I was charged twice for the same order! Please refund the duplicate charge immediately. My card statement clearly shows two charges.,,I was charged twice for the same order! Please refund the duplicate charge immediately. My card statement clearly shows two charges.,"{""topics"": [""THEME_PAYMENT_REFUND""], ""nps_score"": null, ""queue"": ""tier2"", ""vendor"": ""vendorB""}"
IID-000030,email,demo,2026-01-15T04:00:00+00:00,en,US,customer_00030,My discount code IQOS20 isn't working at checkout even though it says it's valid. This is so frustrating!,,My discount code IQOS20 isn't working at checkout even though it says it's valid. This is so frustrating!,"{""topics"": [""THEME_PROMO_PRICING""], ""nps_score"": null, ""queue"": ""tier2"", ""vendor"": ""vendorA""}"
IID-000031,chat,demo,2026-02-18T01:00:00+00:00,en,DE,customer_00031,I need to cancel my order immediately! I placed it by mistake and it hasn't shipped yet.,,I need to cancel my order immediately! I placed it by mistake and it hasn't shipped yet.,"{""topics"": [""THEME_ORDER_MANAGEMENT""], ""nps_score"": null, ""queue"": ""tier1"", ""vendor"": ""vendorA""}"
IID-000032,chat,demo,2026-02-10T05:00:00+00:00,en,UK,customer_00032,I just bought my first IQOS and I'm completely lost on how to set it up. The instructions in the box aren't clear at all!,,I just bought my first IQOS and I'm completely lost on how to set it up. The instructions in the box aren't clear at all!,"{""topics"": [""THEME_ONBOARDING""], ""nps_score"": null, ""queue"": ""tier2"", ""vendor"": ""vendorC""}"
IID-000033,email,demo,2026-01-05T12:00:00+00:00,en,US,customer_00033,My loyalty points haven't been added to my account even though I made a purchase 2 weeks ago. I should have 500 points!,,My loyalty points haven't been added to my account even though I made a purchase 2 weeks ago. I should have 500 points!,"{""topics"": [""THEME_REWARDS_LOYALTY""], ""nps_score"": null, ""queue"": ""tier2"", ""vendor"": ""vendorC""}"
IID-000034,nps,demo,2026-01-30T16:00:00+00:00,en,UK,customer_00034,The subscription service is incredible value for money! Always reliable delivery and great pricing. Highly recommend!,,The subscription service is incredible value for money! Always reliable delivery and great pricing. Highly recommend!,"{""topics"": [""THEME_SUBSCRIPTION""], ""nps_score"": 4, ""queue"": ""tier1"", ""vendor"": ""vendorC""}"
IID-000035,review,demo,2026-02-16T03:00:00+00:00,en,UK,customer_00035,In-store staff at the Oxford Street location were incredibly knowledgeable and spent time showing me how to use the device properly.,,In-store staff at the Oxford Street location were incredibly knowledgeable and spent time showing me how to use the device properly.,"{""topics"": [""THEME_INSTORE_SERVICE""], ""nps_score"": null, ""queue"": ""tier2"", ""vendor"": ""vendorC""}"
IID-000036,chat,demo,2026-01-22T03:00:00+00:00,en,DE,customer_00036,Waited 40 minutes in the store queue just to get help with a simple question. Completely understaffed!,,Waited 40 minutes in the store queue just to get help with a simple question. Completely understaffed!,"{""topics"": [""THEME_INSTORE_SERVICE""], ""nps_score"": null, ""queue"": ""tier2"", ""vendor"": ""vendorB""}"
IID-000037,call,demo,2026-01-11T14:00:00+00:00,en,UK,customer_00037,I want to delete all my personal data from your systems immediately. I'm exercising my GDPR right to erasure.,,I want to delete all my personal data from your systems immediately. I'm exercising my GDPR right to erasure.,"{""topics"": [""THEME_PRIVACY_CONCERN""], ""nps_score"": null, ""queue"": ""tier1"", ""vendor"": ""vendorC""}"
IID-000038,chat,demo,2026-02-26T23:00:00+00:00,en,US,customer_00038,Do you share my data with third parties? I'm concerned about my privacy and need to understand your data practices.,,Do you share my data with third parties? I'm concerned about my privacy and need to understand your data practices.,"{""topics"": [""THEME_PRIVACY_CONCERN""], ""nps_score"": null, ""queue"": ""tier2"", ""vendor"": ""vendorC""}"
IID-000039,call,demo,2026-02-18T05:00:00+00:00,en,UK,customer_00039,I want to confirm my age for the purchase. I'm 28 years old and happy to provide ID verification.,,I want to confirm my age for the purchase. I'm 28 years old and happy to provide ID verification.,"{""topics"": [""THEME_AGE_VERIFICATION""], ""nps_score"": null, ""queue"": ""tier1"", ""vendor"": ""vendorC""}"
IID-000040,nps,demo,2026-01-20T20:00:00+00:00,en,UK,customer_00040,Overall I'm a 9/10. Products are excellent but website needs improvement. Very happy with the customer service team though!,,Overall I'm a 9/10. Products are excellent but website needs improvement. Very happy with the customer service team though!,"{""topics"": [], ""nps_score"": 8, ""queue"": ""tier1"", ""vendor"": ""vendorA""}"
IID-000041,nps,demo,2026-01-24T05:00:00+00:00,en,US,customer_00041,Score of 4 out of 10. Too many delivery problems and the device broke too quickly. Customer service was helpful at least.,,Score of 4 out of 10. Too many delivery problems and the device broke too quickly. Customer service was helpful at least.,"{""topics"": [""THEME_DELIVERY_DELAY"", ""THEME_DEVICE_BREAKAGE""], ""nps_score"": 8, ""queue"": ""tier1"", ""vendor"": ""vendorC""}"
IID-000042,nps,demo,2026-01-21T15:00:00+00:00,en,UK,customer_00042,"10/10! Brilliant product, amazing customer service, quick delivery. You've converted me from cigarettes and I couldn't be happier!",,"10/10! Brilliant product, amazing customer service, quick delivery. You've converted me from cigarettes and I couldn't be happier!","{""topics"": [], ""nps_score"": 0, ""queue"": ""tier1"", ""vendor"": ""vendorB""}"
IID-000043,nps,demo,2026-02-26T09:00:00+00:00,en,DE,customer_00043,3/10. My issues are never fully resolved on first contact. Have to keep calling back. Needs major improvement.,,3/10. My issues are never fully resolved on first contact. Have to keep calling back. Needs major improvement.,"{""topics"": [""THEME_FCR_RESOLUTION""], ""nps_score"": 3, ""queue"": ""tier1"", ""vendor"": ""vendorA""}"
IID-000044,chat,demo,2026-02-26T18:00:00+00:00,cs,CZ,customer_00044,Moje zařízení IQOS se po 5 minutách používání přehřívá. Je to opravdu frustrující! Mám ho jen 2 měsíce.,,Moje zařízení IQOS se po 5 minutách používání přehřívá. Je to opravdu frustrující! Mám ho jen 2 měsíce.,"{""topics"": [""THEME_DEVICE_HEATING""], ""nps_score"": null, ""queue"": ""tier1"", ""vendor"": ""vendorA""}"
IID-000045,email,demo,2026-02-16T15:00:00+00:00,cs,CZ,customer_00045,Baterie se vybíjí neuvěřitelně rychle - sotva vydrží 3 nabití než potřebuje nabít. Velmi zklamán kvalitou.,,Baterie se vybíjí neuvěřitelně rychle - sotva vydrží 3 nabití než potřebuje nabít. Velmi zklamán kvalitou.,"{""topics"": [""THEME_BATTERY_CHARGE""], ""nps_score"": null, ""queue"": ""tier1"", ""vendor"": ""vendorC""}"
IID-000046,call,demo,2026-02-19T04:00:00+00:00,cs,CZ,customer_00046,Moje zařízení přestalo fungovat po 6 měsících. Prostě se nezapne. Potřebuji naléhavě výměnu!,,Moje zařízení přestalo fungovat po 6 měsících. Prostě se nezapne. Potřebuji naléhavě výměnu!,"{""topics"": [""THEME_DEVICE_BREAKAGE""], ""nps_score"": null, ""queue"": ""tier1"", ""vendor"": ""vendorC""}"
IID-000047,review,demo,2026-01-31T17:00:00+00:00,cs,CZ,customer_00047,"Skvělý produkt, žádné problémy s přehříváním po 3 měsících. Funguje konzistentně a výdrž baterie byla vynikající.",,"Skvělý produkt, žádné problémy s přehříváním po 3 měsících. Funguje konzistentně a výdrž baterie byla vynikající.","{""topics"": [""THEME_DEVICE_HEATING""], ""nps_score"": null, ""queue"": ""tier1"", ""vendor"": ""vendorB""}"
IID-000048,chat,demo,2026-02-03T19:00:00+00:00,cs,CZ,customer_00048,Moje zařízení IQOS se rozbilo během prvního týdne. Obrazovka praskla bez jakéhokoli nárazu. Velmi špatná kvalita!,,Moje zařízení IQOS se rozbilo během prvního týdne. Obrazovka praskla bez jakéhokoli nárazu. Velmi špatná kvalita!,"{""topics"": [""THEME_DEVICE_BREAKAGE""], ""nps_score"": null, ""queue"": ""tier2"", ""vendor"": ""vendorA""}"
IID-000049,chat,demo,2026-03-01T17:00:00+00:00,cs,CZ,customer_00049,Tabákové tyčinky HEETS jsou kompletně vyprodané ve všech blízkých obchodech i online. Kdy budou zpět naskladněny?,,Tabákové tyčinky HEETS jsou kompletně vyprodané ve všech blízkých obchodech i online. Kdy budou zpět naskladněny?,"{""topics"": [""THEME_CONSUMABLES_AVAILABILITY"", ""THEME_OOS_STOCK""], ""nps_score"": null, ""queue"": ""tier1"", ""vendor"": ""vendorC""}"
IID-000050,review,demo,2026-01-20T12:00:00+00:00,cs,CZ,customer_00050,"Chuť se úplně změnila! Tropical Menthol dříve chutnalo skvěle, ale teď je to úplně jiné. Hlavní problém s kvalitou.",,"Chuť se úplně změnila! Tropical Menthol dříve chutnalo skvěle, ale teď je to úplně jiné. Hlavní problém s kvalitou.","{""topics"": [""THEME_FLAVOR_QUALITY""], ""nps_score"": null, ""queue"": ""tier2"", ""vendor"": ""vendorB""}"
IID-000051,email,demo,2026-02-27T16:00:00+00:00,cs,CZ,customer_00051,Jsem opravdu spokojený s konzistentností chuti Amber tyčinek. Každý balíček chutná naprosto stejně - výborná kontrola kvality!,,Jsem opravdu spokojený s konzistentností chuti Amber tyčinek. Každý balíček chutná naprosto stejně - výborná kontrola kvality!,"{""topics"": [""THEME_FLAVOR_QUALITY""], ""nps_score"": null, ""queue"": ""tier2"", ""vendor"": ""vendorA""}"
IID-000052,nps,demo,2026-01-16T07:00:00+00:00,cs,CZ,customer_00052,"Agent byl neuvěřitelně empatický a věnoval čas pochopení mého problému. Nejlepší zákaznický servis, jaký jsem kdy zažil!",,"Agent byl neuvěřitelně empatický a věnoval čas pochopení mého problému. Nejlepší zákaznický servis, jaký jsem kdy zažil!","{""topics"": [""THEME_AGENT_EMPATHY""], ""nps_score"": 1, ""queue"": ""tier2"", ""vendor"": ""vendorA""}"
IID-000053,call,demo,2026-02-07T17:00:00+00:00,cs,CZ,customer_00053,Agent byl velmi hrubý a přehlíživý. Vůbec neposlouchal můj problém. Musel jsem se opakovat 3krát. Velmi špatná zkušenost.,,Agent byl velmi hrubý a přehlíživý. Vůbec neposlouchal můj problém. Musel jsem se opakovat 3krát. Velmi špatná zkušenost.,"{""topics"": [""THEME_AGENT_EMPATHY""], ""nps_score"": null, ""queue"": ""tier1"", ""vendor"": ""vendorC""}"
IID-000054,chat,demo,2026-01-15T00:00:00+00:00,cs,CZ,customer_00054,Rychlé vyřešení při prvním kontaktu! Agent okamžitě pochopil můj problém a vyřešil ho během minut.,,Rychlé vyřešení při prvním kontaktu! Agent okamžitě pochopil můj problém a vyřešil ho během minut.,"{""topics"": [""THEME_FCR_RESOLUTION""], ""nps_score"": null, ""queue"": ""tier1"", ""vendor"": ""vendorC""}"
IID-000055,call,demo,2026-02-10T01:00:00+00:00,cs,CZ,customer_00055,Volal jsem 4krát ohledně stejného problému a stále není vyřešen. Každý agent mi dává jiné informace. Extrémně frustrující!,,Volal jsem 4krát ohledně stejného problému a stále není vyřešen. Každý agent mi dává jiné informace. Extrémně frustrující!,"{""topics"": [""THEME_FCR_RESOLUTION""], ""nps_score"": null, ""queue"": ""tier1"", ""vendor"": ""vendorA""}"
IID-000056,call,demo,2026-02-27T01:00:00+00:00,cs,CZ,customer_00056,Agent si vyžádal mé datum narození a ověřil moji totožnost před pokračováním - velmi profesionální a bezpečné.,,Agent si vyžádal mé datum narození a ověřil moji totožnost před pokračováním - velmi profesionální a bezpečné.,"{""topics"": [""THEME_AUTHENTICATION""], ""nps_score"": null, ""queue"": ""tier2"", ""vendor"": ""vendorA""}"
IID-000057,call,demo,2026-02-02T07:00:00+00:00,cs,CZ,customer_00057,"Mívám bolesti hlavy a závrať od doby, co používám novou variantu HEETS. Mohlo by to být zdravotní problém? Mám navštívit lékaře?",,"Mívám bolesti hlavy a závrať od doby, co používám novou variantu HEETS. Mohlo by to být zdravotní problém? Mám navštívit lékaře?","{""topics"": [""THEME_ADVERSE_EVENT""], ""nps_score"": null, ""queue"": ""tier2"", ""vendor"": ""vendorC""}"
IID-000058,chat,demo,2026-02-01T06:00:00+00:00,cs,CZ,customer_00058,Vaše stránka při placení neustále vrací chybu. Kód chyby PG-404. Nemohu dokončit nákup!,,Vaše stránka při placení neustále vrací chybu. Kód chyby PG-404. Nemohu dokončit nákup!,"{""topics"": [""THEME_CHECKOUT_FRICTION""], ""nps_score"": null, ""queue"": ""tier1"", ""vendor"": ""vendorC""}"
IID-000059,email,demo,2026-03-01T18:00:00+00:00,cs,CZ,customer_00059,Funkce vyhledávání na vašem webu je úplně rozbitá. Nemohu najít žádné produkty. Web je nepoužitelný!,,Funkce vyhledávání na vašem webu je úplně rozbitá. Nemohu najít žádné produkty. Web je nepoužitelný!,"{""topics"": [""THEME_SEARCH_NAVIGATION""], ""nps_score"": null, ""queue"": ""tier2"", ""vendor"": ""vendorA""}"
IID-000060,chat,demo,2026-02-20T15:00:00+00:00,cs,CZ,customer_00060,"Nemohu se přihlásit do svého účtu! Říká, že moje heslo je nesprávné, ale právě jsem ho resetoval před 5 minutami.",,"Nemohu se přihlásit do svého účtu! Říká, že moje heslo je nesprávné, ale právě jsem ho resetoval před 5 minutami.","{""topics"": [""THEME_LOGIN_ACCOUNT""], ""nps_score"": null, ""queue"": ""tier2"", ""vendor"": ""vendorA""}"
IID-000061,chat,demo,2026-01-07T03:00:00+00:00,cs,CZ,customer_00061,"Moje objednávka měla přijít před 2 týdny, ale stále nic! Sledování říká, že je 10 dní na místním depu.",,"Moje objednávka měla přijít před 2 týdny, ale stále nic! Sledování říká, že je 10 dní na místním depu.","{""topics"": [""THEME_DELIVERY_DELAY""], ""nps_score"": null, ""queue"": ""tier2"", ""vendor"": ""vendorB""}"
IID-000062,email,demo,2026-01-28T13:00:00+00:00,cs,CZ,customer_00062,Balíček přišel úplně poškozený! Zařízení bylo rozdrcené v krabici a příslušenství je rozbité. Hrozné balení!,,Balíček přišel úplně poškozený! Zařízení bylo rozdrcené v krabici a příslušenství je rozbité. Hrozné balení!,"{""topics"": [""THEME_DAMAGED_DELIVERY""], ""nps_score"": null, ""queue"": ""tier2"", ""vendor"": ""vendorC""}"
IID-000063,chat,demo,2026-01-04T21:00:00+00:00,cs,CZ,customer_00063,Byl mi dvakrát naúčtován stejný objednávka! Prosím okamžitě vraťte duplicitní platbu.,,Byl mi dvakrát naúčtován stejný objednávka! Prosím okamžitě vraťte duplicitní platbu.,"{""topics"": [""THEME_PAYMENT_REFUND""], ""nps_score"": null, ""queue"": ""tier1"", ""vendor"": ""vendorA""}"
IID-000064,chat,demo,2026-01-26T23:00:00+00:00,cs,CZ,customer_00064,Právě jsem si koupil svůj první IQOS a jsem úplně ztracen v nastavení. Pokyny v krabici nejsou vůbec jasné!,,Právě jsem si koupil svůj první IQOS a jsem úplně ztracen v nastavení. Pokyny v krabici nejsou vůbec jasné!,"{""topics"": [""THEME_ONBOARDING""], ""nps_score"": null, ""queue"": ""tier2"", ""vendor"": ""vendorA""}"
IID-000065,email,demo,2026-01-16T06:00:00+00:00,cs,CZ,customer_00065,"Moje věrnostní body nebyly připsány na účet, přestože jsem nakoupil před 2 týdny. Měl bych mít 500 bodů!",,"Moje věrnostní body nebyly připsány na účet, přestože jsem nakoupil před 2 týdny. Měl bych mít 500 bodů!","{""topics"": [""THEME_REWARDS_LOYALTY""], ""nps_score"": null, ""queue"": ""tier1"", ""vendor"": ""vendorC""}"
IID-000066,call,demo,2026-01-29T04:00:00+00:00,cs,CZ,customer_00066,Chci smazat všechna svá osobní data z vašich systémů okamžitě. Uplatňuji právo na výmaz podle GDPR.,,Chci smazat všechna svá osobní data z vašich systémů okamžitě. Uplatňuji právo na výmaz podle GDPR.,"{""topics"": [""THEME_PRIVACY_CONCERN""], ""nps_score"": null, ""queue"": ""tier2"", ""vendor"": ""vendorA""}"
IID-000067,call,demo,2026-01-18T14:00:00+00:00,cs,CZ,customer_00067,Chci potvrdit svůj věk pro nákup. Je mi 28 let a rád poskytnu ověření totožnosti.,,Chci potvrdit svůj věk pro nákup. Je mi 28 let a rád poskytnu ověření totožnosti.,"{""topics"": [""THEME_AGE_VERIFICATION""], ""nps_score"": null, ""queue"": ""tier1"", ""vendor"": ""vendorA""}"
IID-000068,nps,demo,2026-01-29T17:00:00+00:00,cs,CZ,customer_00068,"Celkově 9 z 10. Produkty jsou vynikající, ale web potřebuje zlepšení. Velmi spokojený se zákaznickým servisem!",,"Celkově 9 z 10. Produkty jsou vynikající, ale web potřebuje zlepšení. Velmi spokojený se zákaznickým servisem!","{""topics"": [], ""nps_score"": 1, ""queue"": ""tier1"", ""vendor"": ""vendorC""}"
IID-000069,nps,demo,2026-02-04T00:00:00+00:00,cs,CZ,customer_00069,Skóre 4 z 10. Příliš mnoho problémů s doručením a zařízení se rozbilo příliš brzy. Zákaznický servis byl alespoň nápomocný.,,Skóre 4 z 10. Příliš mnoho problémů s doručením a zařízení se rozbilo příliš brzy. Zákaznický servis byl alespoň nápomocný.,"{""topics"": [""THEME_DELIVERY_DELAY"", ""THEME_DEVICE_BREAKAGE""], ""nps_score"": 1, ""queue"": ""tier1"", ""vendor"": ""vendorA""}"
IID-000070,nps,demo,2026-01-27T15:00:00+00:00,cs,CZ,customer_00070,"10/10! Skvělý produkt, úžasný zákaznický servis, rychlá doprava. Přestali jste mě kouřit cigarety a nemůžu být šťastnější!",,"10/10! Skvělý produkt, úžasný zákaznický servis, rychlá doprava. Přestali jste mě kouřit cigarety a nemůžu být šťastnější!","{""topics"": [], ""nps_score"": 7, ""queue"": ""tier1"", ""vendor"": ""vendorB""}"
